,CID,TYPE,ITYPE_BEST,FITPROB_Ia,FITPROB_Ibc,FITPROB_II,CHI2_Ia,CHI2_Ibc,CHI2_II,PBAYES_Ia,PBAYES_Ibc,PBAYES_II,Ia=0__CC=1
1376,4027,1,0,0.9289,0.1099,0.1022,3.7195,14.3647,14.6093,0.9900,8.58959e-03,1.37438e-03,0
1377,9729,1,0,0.9999,7.53573e-02,0.3713,0.6580,15.6155,8.6660,0.9994,1.04961e-04,4.53853e-04,0
1378,11546,1,0,0.9934,0.9758,0.9554,7.1458,8.8565,9.8999,0.5890,0.3751,3.58632e-02,0
1379,14177,1,0,1,1,0.9996,1.2132,2.3428,3.4537,0.9246,7.40512e-02,1.36611e-03,0
1380,4903,1,0,0.9997,0.9980,0.2711,1.7704,2.5419,14.4798,0.7250,0.2749,1.11198e-04,0
1381,7160,1,0,1,0.1382,1.04638e-08,1.2374,24.5358,71.8186,1,1.13006e-06,3.53052e-17,0
1382,5141,1,0,1,0.1728,0.3932,1.3613,21.1507,17.9314,1,1.37088e-05,2.49711e-05,0
1383,247,1,0,1,0.7168,3.23185e-05,1.2126,15.0906,52.4135,1,4.18021e-05,3.64057e-13,0
1384,12765,1,-9,0.9933,0.9564,0.9605,1.34917e-02,8.91606e-02,8.05043e-02,0.8562,8.49718e-02,5.88220e-02,0
1385,367,1,0,1,0.1347,0.5188,0.4769,17.4140,10.1295,0.9981,1.38690e-06,1.85250e-03,0
1386,11070,1,0,0.9511,0.9429,0.9254,3.3027,3.4666,3.7785,0.9673,2.00947e-02,1.25592e-02,0
1387,11999,1,0,1,7.97668e-02,2.72106e-07,1.7411,28.1939,65.3482,1,1.78761e-08,2.53836e-16,0
1388,12743,1,0,1,0.8925,1.77240e-02,2.5333,11.8355,32.7838,0.9994,6.12772e-04,9.82335e-10,0
1389,8848,1,0,1,0.6267,3.11996e-04,0.6920,10.8102,37.7829,0.9929,7.06629e-03,5.93273e-09,0
1390,11238,1,0,1,0.5076,0.1274,0.3011,8.2658,13.8590,0.9997,2.19526e-04,3.38888e-05,0
1391,12935,1,0,0.7845,0.6595,0.2836,12.2543,14.1078,19.8191,0.8232,0.1708,5.97272e-03,0
1392,8974,1,0,0.9998,0.9999,1,0.5884,0.4090,0.2309,0.8132,3.48007e-02,0.1520,0
1393,7584,1,0,1,5.65999e-02,0.1687,1.7200,29.6373,24.7579,1,7.62135e-08,3.69632e-07,0
1394,8494,1,0,0.9995,0.9428,0.1410,0.9587,3.4693,13.5070,0.9751,2.47085e-02,1.81445e-04,0
1395,11569,1,0,1,6.31165e-03,5.94480e-12,2.1995,36.3767,90.0633,1,8.75029e-09,6.40271e-21,0
1396,5125,1,0,1,0.1723,0.1120,0.2186,12.7910,14.3028,0.9997,2.25218e-04,2.81163e-05,0
1397,5633,1,0,0.9999,0.1462,5.70399e-05,4.1585,24.2746,50.8021,1,3.03429e-05,1.58233e-11,0
1398,12300,1,0,0.9989,0.1055,8.59691e-03,4.4878,24.5393,32.5021,1,2.13214e-05,9.18381e-08,0
1399,14255,1,0,1,4.47822e-02,1.50955e-03,0.4468,15.8364,25.0753,1,3.15153e-05,9.95741e-08,0
1400,7943,1,0,0.9965,0.9954,0.9947,5.3673,5.6207,5.7559,0.8174,7.57032e-02,0.1069,0
1401,5902,1,0,1,2.76539e-02,7.03675e-04,2.7209,32.4694,44.9183,1,5.59094e-08,5.96481e-11,0
1402,4673,1,0,1,8.49320e-02,2.34862e-04,1.8153,27.9225,46.6932,1,1.61078e-07,1.27821e-11,0
1403,12496,1,0,0.9999,0.9514,0.1273,0.6732,3.2955,13.8612,0.9859,1.40933e-02,5.32797e-05,0
1404,3879,1,0,1,0.9974,0.9970,5.29302e-02,0.8059,0.8437,0.5867,3.71565e-02,0.3761,0
1405,5703,1,0,1,2.66247e-44,1.50154e-34,2.7447,257.3059,209.1063,1,0,0,0
1406,4913,1,-9,0.9998,0.9992,0.9989,3.73559e-08,1.67347e-03,2.20901e-03,0.9736,6.59951e-03,1.97842e-02,0
1407,10891,1,0,0.8876,3.11158e-02,0.5291,4.3407,18.3700,8.0500,0.9024,4.30277e-05,9.75411e-02,0
1408,3596,1,-9,0.9998,0.9992,0.9995,3.17777e-04,1.67429e-03,9.68121e-04,0.7578,0.1030,0.1392,0
1409,14933,1,0,0.9915,0.1636,5.90596e-03,1.9953,12.9791,21.5115,0.9995,5.35615e-04,2.43036e-06,0
1410,14437,1,0,1,0.9168,0.1429,0.2449,3.9165,13.4602,0.9951,4.81242e-03,4.84764e-05,0
1411,11193,1,0,1,6.20121e-03,0.8700,1.9680,33.5722,10.7349,0.9885,2.57832e-08,1.14653e-02,0
1412,7040,1,0,1,6.97548e-02,0.4576,2.1133,28.7661,18.9876,0.9994,5.23829e-07,6.26523e-04,0
1413,12844,1,0,0.9959,2.94987e-03,3.54274e-05,1.2680,23.3437,34.3279,1,6.19690e-07,9.37880e-09,0
1414,11552,1,0,0.9876,0.3042,2.02395e-03,7.9027,21.6083,40.0982,0.9999,7.52247e-05,1.67757e-08,0
1415,5756,1,0,0.9970,0.7994,0.7097,1.1662,4.5996,5.4402,0.9400,3.46908e-02,2.53087e-02,0
1416,1572,1,0,0.9571,0.9487,0.9227,5.0261,5.2611,5.8654,0.8483,0.1382,1.34499e-02,0
1417,1957,1,-9,0.9987,0.9925,0.2389,2.90474e-02,9.43669e-02,4.2176,0.9316,6.47395e-02,3.62451e-03,0
1418,2588,1,0,1,3.09241e-08,2.58663e-04,1.8777,70.9720,47.9750,1,1.36142e-16,7.03095e-12,0
1419,8166,1,0,0.9639,0.9340,0.9293,9.5164,10.6837,10.8345,0.7269,0.1985,7.46407e-02,0
1420,10554,1,0,0.9990,0.9556,0.1500,5.4356,9.8887,24.1559,0.9955,4.45501e-03,1.12086e-05,0
1421,641,20,-9,0.9937,0.9773,0.9997,7.0994,8.7588,4.5284,0.3780,0.2415,0.3805,1
1422,10479,20,2,0.9599,0.9905,0.9997,9.7021,7.5682,4.5653,1.52169e-02,1.43234e-02,0.9705,1
